"offerID"|"name"
"antonline_277"|"HP Pavilion x360 2 in 1 15.6in IPS Touch Screen Laptop Intel Core i3 (8th Gen) 8GB RAM 1TB HDD Gold and Silver"
"antonline_283"|"HP EliteBook 755 G5 15.6in LCD Notebook"
"antonline_285"|"HP Pavilion Gaming 15.6in IPS Laptop Intel Core i5 (8th Gen) Quad Core 8GB RAM NVIDIA GeForce GTX 1050 Ti 1TB HDD Black and Acid Green"
"antonline_286"|"HP 15-db0000 15-db0040nr 15.6in Touchscreen LCD Notebook"
"antonline_288"|"HP Pavilion x360 2 in1 15.6in IPS Touch Screen Laptop Intel Core i5 (8th Gen) 8GB RAM 256GB SSD Silver"
"antonline_291"|"HP ZBook 14u G5 14in Touchscreen LCD Mobile Workstation"
"antonline_292"|"HP Envy 13.3in Touch Screen Laptop Intel Core i7 (8th Gen) 8GB RAM 256GB SSD Silver"
"antonline_293"|"HP Pavilion x360 2 in 1 14in Laptop Intel Core i5 8GB RAM 256GB SSD Silver"
"antonline_321"|"HP EliteBook 1040 G4 14in LCD Notebook"
"antonline_323"|"HP ProBook 450 G5 15.6in LCD Notebook"
"antonline_324"|"HP ProBook 470 G5 17.3in LCD Notebook"
"antonline_326"|"HP ProBook 470 G5 17.3in LCD Notebook"
"antonline_327"|"HP ZBook 14u G4 14in Touchscreen LCD Mobile Workstation"
"antonline_340"|"HP ZBook 15 G4 15.6in LCD Mobile Workstation"
"antonline_341"|"HP ZBook Studio G4 15.6in LCD Mobile Workstation"
"antonline_343"|"HP EliteBook 850 G4 15.6in LCD Notebook"
"antonline_344"|"HP ProBook 650 G2"
"antonline_345"|"HP EliteBook 840 G4 14in Touchscreen LCD Notebook"
"antonline_351"|"HP ProBook 650 G3"
"antonline_354"|"HP EliteBook 840 G4"
"antonline_362"|"HP EliteBook 1040 G3 14in Notebook"
"antonline_365"|"HP EliteBook 830 G5 13.3in LCD Notebook"
"antonline_369"|"HP EliteBook 1040 G4 14in Touchscreen LCD Notebook"
"antonline_377"|"HP ProBook 440 G5 14in Touchscreen LCD Notebook"
"antonline_379"|"HP EliteBook x360 1020 G2 12.5in Touchscreen LCD 2 in 1 Notebook"
"antonline_385"|"HP 250 G6 15.6in LCD Notebook"
"antonline_388"|"HP 250 G6 15.6in LCD Notebook"
"antonline_389"|"HP ZBook 17 G4 17.3in LCD Mobile Workstation"
"antonline_394"|"HP EliteBook x360 1030 G2 13.3in Touchscreen LCD 2 in 1 Notebook"
"antonline_395"|"HP EliteBook x360 1030 G2 13.3in Touchscreen LCD 2 in 1 Notebook"
"antonline_402"|"HP EliteBook x360 1030 G2 13.3in Touchscreen LCD 2 in 1 Notebook"
"antonline_412"|"HP ProBook 645 G3"
"antonline_413"|"HP EliteBook 850 G4"
"antonline_420"|"HP ZBook 15 G3 15.6in Mobile Workstation"
"antonline_427"|"HP ProBook 650 G2 15.6in Notebook"
"antonline_428"|"HP ProBook 650 G2 15.6in Notebook"
"antonline_430"|"HP EliteBook 850 G3 15.6in Notebook"
"antonline_454"|"HP ZBook 15 G3 15.6in Mobile Workstation"
"antonline_463"|"Dell Alienware 17 R5 VR Ready 17.3in LCD Gaming Notebook Intel Core i7 (8th Gen) 16 GB DDR4 SDRAM 1 TB HHD IPS Silver"
"antonline_480"|"Lenovo IdeaPad 730S-13IWL 81JB0004US 13.3in LCD Notebook"
"antonline_521"|"Lenovo ThinkPad E485 20KU001KUS 14in LCD Notebook"
"antonline_527"|"Lenovo ThinkPad E580 20KS008JUS 15.6in LCD Notebook"
"antonline_530"|"Acer TravelMate P2 P2510-G2-M TMP2510-G2-M-891A 15.6in LCD Notebook"
"antonline_535"|"Lenovo IdeaPad 330-15ARR 81D200AMUS 15.6in LCD Notebook"
"antonline_541"|"Lenovo IdeaPad 720S-15IKB 81AC003EUS 15.6in LCD Notebook"
"antonline_548"|"Lenovo IdeaPad Flex 6-14ARR 81HA0009US 14in Touchscreen LCD 2 in 1 Notebook"
"antonline_554"|"Acer Switch 5 SW512-52P-35RA 12in Touchscreen LCD 2 in 1 Notebook"
"antonline_56"|"HP ProBook 450 G5 15.6in LCD Notebook"
"antonline_565"|"Dell XPS 9570 15.6in Intel Core i5 (8th Gen) LCD Notebook 8GB 128GB SSD"
"antonline_571"|"Asus VivoBook Flip 14 TP412UA-DB51T 14in Touchscreen LCD Notebook"
"antonline_575"|"Lenovo ThinkPad T480s 20L7005FUS 14in LCD Notebook"
"antonline_587"|"Lenovo IdeaPad 330-15IKB 81DE01M2US 15.6in LCD Notebook"
"antonline_594"|"Lenovo IdeaPad 530S-14IKB 81EU0008US 14in LCD Notebook"
"antonline_618"|"ASUS ROG Zephyrus M GM501"
"antonline_619"|"Dell Inspiron 15-5000 15 5570 15.6in LCD Notebook"
"antonline_630"|"Lenovo ThinkPad T480 20L5004HUS 14in LCD Notebook"
"antonline_636"|"Lenovo ThinkPad T580 20L9001KUS 15.6in LCD Notebook"
"antonline_637"|"Lenovo ThinkPad X1 Yoga 3rd Gen 20LD001GUS 14in Touchscreen LCD 2 in 1 Ultrabook"
"antonline_640"|"Lenovo ThinkPad E580 20KS003SUS 15.6in LCD Notebook"
"antonline_646"|"Lenovo ThinkPad X1 Carbon 6th Gen 20KH002JUS 14in Touchscreen LCD Ultrabook"
"antonline_648"|"Lenovo ThinkPad X1 Carbon 6th Gen 20KH002FUS 14in LCD Ultrabook"
"antonline_652"|"Lenovo ThinkPad T480s 20L70023US 14in Touchscreen LCD Notebook"
"antonline_654"|"Lenovo ThinkPad T480 20L5000UUS 14in LCD Notebook"
"antonline_656"|"Lenovo ThinkPad T580 20L9001MUS 15.6in LCD Notebook"
"antonline_658"|"Lenovo ThinkPad T480s 20L7001YUS 14in LCD Notebook"
"antonline_663"|"Lenovo ThinkPad X280 20KF0020US 12.5in Touchscreen LCD Ultrabook"
"antonline_664"|"Lenovo ThinkPad X1 Yoga 3rd Gen 20LD001KUS 14in Touchscreen LCD 2 in 1 Ultrabook"
"antonline_691"|"Lenovo Legion Y730-17ICH 81HG001HUS 17.3in LCD Gaming Notebook"
"antonline_692"|"Lenovo IdeaPad Flex 6-14IKB 81EM0011US 14in Touchscreen LCD 2 in 1 Notebook"
"antonline_698"|"Asus Vivobook S S530UA-DB51-RD 15.6in LCD Notebook"
"antonline_703"|"Lenovo IdeaPad 330-15ICH 81FK009UUS 15.6in LCD Notebook"
"antonline_706"|"Lenovo IdeaPad 330 Touch-15ARR 81D30001US 15.6in Touchscreen LCD Notebook"
"antonline_707"|"Lenovo IdeaPad 330 Touch-15IKB 81DJ0000US 15.6in Touchscreen LCD Notebook"
"antonline_716"|"Acer Swift 5 SF514-52TP-52LH 14in Touchscreen LCD Notebook"
"antonline_722"|"Dell Latitude 5000 5591 15.6in LCD Notebook"
"antonline_723"|"Dell Latitude 5000 5591 15.6in LCD Notebook"
